id;uuid;first_name;last_name;username;email;password;phone;activated;authority_name;organization_id;post;birthday;activity_zone;activity_service;type_contract;created_by;last_modified_by;manager_id;activation_key
1;b42f7d2f-2ccd-4929-8ea6-1e4de5ff5a37;Admin;Admin;admin@local.host;admin@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;86 30 11 40 87;true;ROLE_ADMIN;1;Administareur;1969-05-27;;;null;system;system;;NULL
2;32b45dbc-3703-43d1-b4c7-59f6b6924d47;Daniele;Maccrie;supermanager1@local.host;supermanager1@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;26 90 13 13 87;true;ROLE_SUPER_MANAGER;1;Help Desk Operator;1941-06-10;Nord;;CDI;system;system;;NULL
3;53db2348-3c94-4e07-b0ee-b9238215824b;Auberon;Teaze;supermanager2@local.host;supermanager2@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;69 55 97 84 79;true;ROLE_SUPER_MANAGER;1;Librarian;1902-08-15;Sud;Service A;CDI;system;system;;NULL
4;d3e6aba7-4b01-4cc8-958e-e7eaa50b2a75;Aubine;Convery;manager1@local.host;manager1@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;15 73 19 40 77;true;ROLE_MANAGER;1;Human Resources Manager;1951-04-18;Sud;Service B;INTERMITTENT;system;system;2;NULL
5;67937fcd-a19e-4347-96f6-4012a103d501;Flem;O' Neligan;manager2@local.host;manager2@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;73 24 47 14 71;true;ROLE_MANAGER;1;Help Desk Technician;1945-01-28;Est;;INTERIM;system;system;2;NULL
6;5de5c254-0a10-439c-b988-c66fdedaad36;Marabel;Sarle;manager3@local.host;manager3@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;33 88 86 14 53;true;ROLE_MANAGER;1;Chief Design Engineer;1935-06-28;Sud;Service A;INTERMITTENT;system;system;2;NULL
7;97523f91-5ba2-40e7-8178-9a177d1ef371;Neysa;Farmery;manager4@local.host;manager4@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;69 65 91 83 41;true;ROLE_MANAGER;1;Structural Engineer;1966-01-30;;Service C;INTERIM;system;system;3;NULL
8;71965840-20fb-44fd-afaa-8ad8e3841a32;Frederica;Tempest;manager5@local.host;manager5@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;68 67 68 43 82;true;ROLE_MANAGER;2;Editor;1906-05-15;Nord;Service A;null;system;system;3;NULL
9;8b3d8461-d022-4f1e-8ad4-90cd1e42d1b2;Britney;Wallentin;commercial9@local.host;commercial9@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;95 33 57 18 63;true;ROLE_COMMERCIAL;1;Administrative Assistant IV;1904-10-09;Nord;Service D;CDI;system;system;4;NULL
10;70880874-218f-47cd-a777-8bee9d9c9542;Janella;Reavey;commercial10@local.host;commercial10@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;91 32 28 96 98;true;ROLE_COMMERCIAL;1;Design Engineer;1949-04-15;Nord;Service B;INTERIM;system;system;4;NULL
